ID,Threat cluster,ENISA_Threat,E (category),CIA,L (lifecycle),S (segments),A (affected assets),TB (trust boundaries),Pre,TTP,CM,I,Conf,Threat Description (ENISA),Notes
TR13,Failures or malfunctions,Failure of communication networks,FM / Failures or malfunctions,A,"{3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space; User,"Ground: TTC Ground (Antenna, SLE/SDL protocol); Space: BUS (COM); User: VSAT",User <-> Ground/RAN (service link) ; Ground <-> Space (feeder / telecommand link) ; User <-> Space (direct service link),,,,,,Failrue of communication networks may be caused by malfunction of either hardware of software supporting this network's function or attack directed at them. The satellite lifecycle is dependent on connectivity and so this threat may disrupt functioning of any of its segments.,
TR14,Failures or malfunctions,Failure of power supply,FM / Failures or malfunctions,A,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space,Ground: Production & Assembly & Transport & Checkout systems; Space: BUS (EPS),Ground <-> Space (feeder / telecommand link),,,,,,"Disruption or failure of the satellite's power supply, resulting in satellite becoming unresponsive due to a shut down. This can happen several times as a result of, for example, faulty batteries, damage to, or malfunction of other power sources, such as solar panels, are also possible.",
TR15,Failures or malfunctions,Rogue hardware,FM / Failures or malfunctions,CI,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground,Ground: Assembly (EGSE/MGSE) & Crypto Hardware/Software & Satellite Control Centre,(none - single segment / internal),,,,,,"Tainted hardware components may be built into both space and ground segments, ultimately resulting in hardware failure. Failure or malfunction may occur as a result of hidden, malicious capabilities that are built in during the design and development and assembly stages of a satellite's lifecycle. Apart from built-in malicious capabilities, the hardware may simply not be produced according to the specification provided by the manufacturer, or it may be counterfeit.",
TR16,Physical access,"Coercion, extortion, or corruption",PA / Physical Attacks,CIA,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Human Resources,Human resources: all assets,(none - single segment / internal),,,,,,"The threat of violence, other harms in order to gain access to desired premises or information, or manipulating the victim to perform other actions that the adversary wants them to do. This threat may impact any segment of satellite lifecycle, where human activity or iteraction is present.",
TR17,Physical access,Damage/Destruction of segment assets,PA / Physical Attacks,A,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space,Ground: Production & Assembly & Transport & Launch & Satellite Control Centre & TTC Ground; Space: all assets,Ground <-> Space (feeder / telecommand link),,,,,,"Intentional damage or destruction of satellite infrastructure
(hardware and/or software) as a result of intentional adversary
action can negatively impact availability of each segment of 
satellite lifecycle.",
TR18,Physical access,Damage/Destruction of the satellite via the use of ASAT,PA / Physical Attacks,A,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space,Ground: TTC Ground; Space: all assets,Ground <-> Space (feeder / telecommand link),,,,,,"Deliberate physical damage to the satellite or some of its segments. This threat can negatively impact any aspect of satellite operations, epending on the specific satellite asset that has been damaged. hysical damage to the satellite can be caused by a deliberate attack ia an ASAT weapon. ASAT includes space or ground based directed nergy weapons or kinetic weapons inteded to physically destroy atellites, namely: high-powered microwave (HPM) weapons, lectromagnetic pulse (EMP), high-powered laser weapons, laser dazzling and blinding, and high-altitude nuclear detonation. This also entails proximity operations where rogue space objects approach space assets for the purpose of assessing their capabilities (spying), making physical contact (ramming), or conducting aforementioned attacks.",
TR19,Physical access,Loss during shipping,PA / Physical Attacks,CIA,"{1:Design and Development,2:Assembly,3:Pre-launch}",Ground,Ground: Transport Container,(none - single segment / internal),,,,,,"Any satellite lifecycle asset component may be required to be shipped from one location to other, for multitude of reasons, such as calibration/verification, user, or repair. These transfers may be both internal and external to the satellite lifecycle. During the transfer, the asset may be lost, which would strip any segment of the lifecycle of any capability supplied by this asset.",
TR20,Physical access,Sabotage through hardware/software,PA / Physical Attacks,CIA,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground,"Ground: Design, development, and quality assurance & Assembly & Satellite Control Centre",(none - single segment / internal),,,,,,"Threats resulting from connection of unauthorized rogue hardware and software, such as USB sticks, unauthorized applications, etc. may endanger the integrity, confidentiality and availability of satellite components. They can be perpetrated as a result of intentional, targeted human intervention or even on the orbit itself (docking of another satellite).",
TR21,Physical access,Unauthorized phyisical access,PA / Physical Attacks,CIA,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground,Ground: all assets,(none - single segment / internal),,,,,,"Unauthorized access/intrusion into buidlings, premises and sites.
This may result into various types of threats, including compromise, modification, damage to or even theft of the satellite lifecycle assets (ground or space, if they are located on the ground).",
TR22,Legal,Data leaks,LEG / Legal,CIA,"{1:Design and Development,2:Assembly,3:Pre-launch}",Ground,"Ground: Production (Document Management, ERP software, Crypto hw/sw, Simulators, Soft/Hardware Test Tools)",(none - single segment / internal),,,,,,"Threat of potentially disclosing sensitive information to external
third parties or skateholders who do not have the need and/or permission to view/access it. Leaked information can subsequently be abused for launching attacks on the entity the data originates from, as well as its partners, suppliers, etc. depending on the content of the data.",
TR23,Legal,misuse of equipment,LEG / Legal,CIA,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground,Ground: Satellite Control Centre (EGSE/MGSE),(none - single segment / internal),,,,,,Misuse of device(s) and tools.,
TR24,Legal,Negligence of asset handling security requirements,LEG / Legal,CIA,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Human Resources,Human Resources: all assets,(none - single segment / internal),,,,,,"Threats stemming from irrational or improper behavior of actors
involved in a satellites' lifecycle. These may include instances of, for example, non-conformity to security requirements during the design, configuration, and operation phases of software and/or hardware components, etc. which could be a source of vulnerabilities and open the doors for subsequent threats and attacks.",
TR25,Legal,Refusal of actions,LEG / Legal,CIA,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space; User; Human Resources,Ground: all assets; Space: all assets; User: all assets; Human resources: all assets,User <-> Ground/RAN (service link) ; Ground <-> Space (feeder / telecommand link) ; User <-> Space (direct service link) ; Human Resources <-> technical segment (organizational boundary),,,,,,"Postponing or ignoring security requirements (e.g. reporting, updates, patches) by satellite lifecycle actors, due to negligence or purposeful refusal, may affect any segment of satellite lifecycle, due to inherent presence of satellite lifecycle actors in them.",
TR26,Legal,Third Party non-compliance (supply chain),LEG / Legal,C,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space,Ground: Production; Space: Payload (PLCOM),Ground <-> Space (feeder / telecommand link),,,,,,"Threats from unvetted, of insufficiently monitored third parties a satellite's the supply chain which may result in the development and delivery of specific components that fail to comply or live up to the security specifications and requiurements that have access to sensitive data or are intended to support critical satellite functions. Examples include use of counterfeit or copied software (e.g. pirated software) that may contain malware, such as disk wiper malware, or the provision of hardware components that contian back doors.",
TR27,Legal,Unauthorized access to recycled or disposed media,LEG / Legal,C,"{3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Space,Space: Payload (PLCOM); disposed/recycled media or decommissioned infrastructure,(none - single segment / internal),,,,,,Third parties get access to information from disposed/recycled media or decommmissioned infrastructure.,affected-asset text approximate (segments reliable)
TR28,Evaesdropping/Interception/Hijacking,Hijacking,EIH / Eavesdropping/Interception/Hijacking,IA,"{3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space,Ground: Satellite Control Centre & TTC Ground (SLE/SDL protocol); Space: BUS (CDHS & COM) & Payload (PDHS & PLCOM),Ground <-> Space (feeder / telecommand link),,,,,,"Malicious alteration or complete replacement of a satellite's  legitimate signals with the aim to reuse it for another purpose. Hijacking and unauthorized commands to guidance control are a threat to both ground and space segments, primarily impacting the satellite control center and TTC ground stations, as well as the satellite bus in the space segment. This type of threats can be materialized by compromising the SLE and SDL protocols.",
TR29,Evaesdropping/Interception/Hijacking,Interception of communication,EIH / Eavesdropping/Interception/Hijacking,C,"{3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space; User,"Ground: Satellite Control Centre & TTC Ground (Antenna, SLE/SDL protocol); Space: BUS (COM) & Payload (PLCOM); User: VSAT",User <-> Ground/RAN (service link) ; Ground <-> Space (feeder / telecommand link) ; User <-> Space (direct service link),,,,,,"Interception of data over a communication channel. This may concern any existing communication link in the satellite lifecycle, inside of specific segments - ground, space, user and human resources - as well as between the segments. It concerns both primary and secondary commincation channels (e.g. used as backup). This threat is commonly employed for cyber espionage, as it may compromise any information in the satellite lifecycle. For example, the threat of interception of communication can manifest itself as interception of Multi-Factor Authentication.",
TR30,Evaesdropping/Interception/Hijacking,Man-in-the-Middle,EIH / Eavesdropping/Interception/Hijacking,CIA,"{3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space; User,Ground: Satellite Control Centre & TTC Ground (SLE/SDL protocol); Space: BUS & Payload; User: VSAT,User <-> Ground/RAN (service link) ; Ground <-> Space (feeder / telecommand link) ; User <-> Space (direct service link),,,,,,"Threats stemming from Man-in-the-Middle attacks can be materialized by bypassing access control on the COM/PLCOM parts of the satellite, as well as SLE protocol on the ground segment. Similar to DoS, Man-in-the-Middle attacks target the same group of assets satellite control centers and TTC ground stations in the ground segment, as well as the bus and payload in the satellite segment. Additionally, this type of threat can impact VSAT in the user segment.",
TR31,Evaesdropping/Interception/Hijacking,Network manipulation (Bus-Payload Link),EIH / Eavesdropping/Interception/Hijacking,CI,"{3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Space,Space: BUS (CDHS & COM) & Payload (PLCOM & PDHS & UDHS),(none - single segment / internal),,,,,,"Threats to the link between connected payload components, in instances where more than one PDHS or UDHS exists (i.e. denial of the link's availability by one to the others). The materialization of such threat may result in compromise of multiple services hosted by the satellite. This may potentially lead to payload data leaks from all hosted payload components.",
TR32,Evaesdropping/Interception/Hijacking,Network traffic manipulation (TC),EIH / Eavesdropping/Interception/Hijacking,A,"{3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space,Ground: Satellite Control Centre & TTC Ground (Antenna); Space: BUS (COM); Ground & Space: SLE/SDL protocols,Ground <-> Space (feeder / telecommand link),,,,,,Threats targeting the ability of a satellite to handle traffic coming from the ground station (telecommand) through TC suppression. This type of threats can impact SLE and SDL protocols.,
TR33,Evaesdropping/Interception/Hijacking,Position detection (telemetry),EIH / Eavesdropping/Interception/Hijacking,C,"{3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Space,"Space: CDHS (OBSW, OBC)",(none - single segment / internal),,,,,,"Adversaries obtaining information on the orientation of the 
satellite enabling them to draw conclusions on its function/mission, orbit, etc. and possibly launch subsequent targeted attacks.",
TR34,Evaesdropping/Interception/Hijacking,Replay of recorded authentic communication traffic,EIH / Eavesdropping/Interception/Hijacking,CI,"{3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space,Ground & Space: SLE/SDL protocols,Ground <-> Space (feeder / telecommand link),,,,,,"Replay of previous legitimate messages (communication traffic)
at a later time to trigger a system response or to enable access to data. An examples of replay attacks may include attacking the scheduling table to affect tasking.",
TR35,Evaesdropping/Interception/Hijacking,Unauthorized access,EIH / Eavesdropping/Interception/Hijacking,CI,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground,Ground: all assets (including SLE/SDL protocol),(none - single segment / internal),,,,,,"Threat actors gaining and maintaining unauthorized access to
a network, which enables them to pre-position themselves for reconnaissance, espionage and/or launch of potential subsequent attcks. The threat can be materialized via web page attacks, cross-site scripting, cross-site reuqest forgery, drive-by hacking, phishing, or attcacks on air gapped solutions (i.e. intranet), or through brute force password cracking. Additionally, via masquerading techniques, threat actors presenting themselves as legitimate entities/users can gain unauthorized access.",
TR36,Nefarious activity/abuse,Abuse of leaked data,NAA / Nefarious Activity/Abuse,C,"{1:Design and Development,2:Assembly,3:Pre-launch}",Ground,"Ground: Production (Document Management incl. Configuration Management System; Prototyping/IDE; ERP software & misc software); Email servers, databases, OS; Phones, laptops, tablets",(none - single segment / internal),,,,,,User of previously leaked data and information for malicious purposes. Examples may include use of leaked crednetials for launching subsequent phishing attacks or gaining unauthorized access using these.,
TR37,Nefarious activity/abuse,Abuse/Falsification of rights,NAA / Nefarious Activity/Abuse,CIA,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; User,"Ground: Design/dev/QA, Assembly, Manufacturing Systems, Misc (software), Misc (endpoint devices), Logistics Management System, Checkout systems, Mission Control System, Network (WAN); User: Consumer endpoint devices",User <-> Ground/RAN (service link),,,,,,"Misuse or modification of access rights and permissions to IT systems may see adversaries gain access to these systems, after which they could be able to affect multitude of processes in any segment of the satellite lifecycle. The adversaries may affect those processes to collect information, change them or incapacitate them. This threat is frequently materialized via malicious insiders trading credentials for monetary rewards.",
TR38,Nefarious activity/abuse,Compromising confidential information (data breaches): Exfiltration,NAA / Nefarious Activity/Abuse,C,{6:Operations},Ground; User,Ground: SLE/SDL protocols; User: endpoint interfaces and devices,User <-> Ground/RAN (service link),,,,,,"Exfiltration of sensitive satellite data, resuliting in a data breach. Exfiltration can be conducted over alternative protocols and web services, including also automated exfiltration.",
TR39,Nefarious activity/abuse,Data Modification,NAA / Nefarious Activity/Abuse,CI,"{1:Design and Development,2:Assembly,3:Pre-launch}",Ground,"Ground: Production (Document Management incl. Configuration Management System; Prototyping/IDE; ERP software & misc software); Email servers, databases, OS; Phones, laptops, tablets",(none - single segment / internal),,,,,,"Although a threat manifestation element of several threat clusters, modification of data as a threat category refers to the potential for adversaries to modify registers, system and authentication processes, and/or cloud compute infrastructure.",
TR40,Nefarious activity/abuse,Denial of Service (DoS),NAA / Nefarious Activity/Abuse,A,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space; User,Ground: all assets; Space: all assets; User: Consumer Interfaces & devices,User <-> Ground/RAN (service link) ; Ground <-> Space (feeder / telecommand link) ; User <-> Space (direct service link),,,,,,"DoS can pose a threat to both the satellite control center and TTC ground stations, as well as the bus and the payload of the space segment, affecting their availability. Given the common practice of segregation between the bus and the payload, in the case of the space segement, such threats would primarily need to be executed through the bus. DoS may be perpetrated through various kinds of techniques, such as flooding of satellite with requests/commands.",
TR41,Nefarious activity/abuse,Electromagnetic interference,NAA / Nefarious Activity/Abuse,IA,"{3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Space,"Space: EPS, RTOS and AOCS",(none - single segment / internal),,,,,,"Analog interference with electromagnetic signals that are used for controlling heaters and flow valves of the propulsion subsystem. Attacks aimed at these signals could cause freezing of propellant lines, valves locking, lead to unstable spinning of the satellite or put it in de-orbit.",
TR42,Nefarious activity/abuse,Firmware corruption,NAA / Nefarious Activity/Abuse,A,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space,Ground: all assets; Space: all assets,Ground <-> Space (feeder / telecommand link),,,,,,Threats against firmware include the potential of adversaries overwriting or corrupting firmware devices (e.g. flahs memory contents of system OS) making them inoperable or unable to boot.,
TR43,Nefarious activity/abuse,Identity Theft,NAA / Nefarious Activity/Abuse,CIA,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Human Resources,Human resources: all assets,(none - single segment / internal),,,,,,"Targeted take-over of an identity of certain satellite lifecycle actors, by acquiring their personal items, information or other artifacts which would allow adversaries to pose as those actors. This may grant adversaries access to processes, information or even facilites where they could perpetrate multitude of actions whose results can compromise each aspect of CIA triad of satellite lifecycle.",
TR44,Nefarious activity/abuse,Jamming,NAA / Nefarious Activity/Abuse,A,"{3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space; User,Ground: TTC Ground (Antenna); Space: BUS (COM) & Payload (PLCOM); User: VSAT,User <-> Ground/RAN (service link) ; Ground <-> Space (feeder / telecommand link) ; User <-> Space (direct service link),,,,,,"Overpowering the frequency of a legitimate RF signal in order to disrupt communications between the ground station and the satellite, or vice versa. Jamming can result in unauthorized commands for guidance and control being sent to the satellite, injection of malicious code, and/or overall Denial of Service. It is one of the most common threats to space infrastructure targeting both ground and space segments as well as space-link communication and has been increasingly employed by a wide range of threat actors.",
TR45,Nefarious activity/abuse,Malicious code/software/activity: Cryptographic exploit,NAA / Nefarious Activity/Abuse,C,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space,Ground: Crypto Hardware/Software & Transport Container (Crypto Unit Board) & Satellite Control Centre (Crypto Unit Ground); Space: Crypto Unit Board,Ground <-> Space (feeder / telecommand link),,,,,,"Exploitation of weak communications protocols, commonly due to a lack of encryption, or malicious use of compromised master keys or any encryption key. This threat may result in adversary gaining access to any communication/information in the satellite lifecycle.",
TR46,Nefarious activity/abuse,Malicious code/software/activity: Malicious injection,NAA / Nefarious Activity/Abuse,IA,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space,Ground: Production (Manufacturing systems & Simulators & Crypto hw/sw) & Centralised Checkout Systems & Satellite Operations Centre (Mission Control System); Space: BUS (CDHS/COM) & Payload (PDHS/PLCOM),Ground <-> Space (feeder / telecommand link),,,,,,"Injection of malicious software (e.g. rootkits, bootkits, backdoors) into space operations contorl systems and/or satellite data receivers and trasmitters. Malicious code could also be injected into software updates, affecting for exmaple on-orbit software updates, upgrades, patches, or direct memory writes. Malicious injection could enable satellite data extraction and/or manipluation targeting the bus or payload.",
TR47,Nefarious activity/abuse,Malicious code/software/activity: Network exploit,NAA / Nefarious Activity/Abuse,A,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space; User,"Ground: Satellite Control Centre & Centralised Checkout Systems & TTC Ground (Antenna); Space: BUS (CDHS, COM) & Payload (PDHS, PLCOM); User: VSAT",User <-> Ground/RAN (service link) ; Ground <-> Space (feeder / telecommand link) ; User <-> Space (direct service link),,,,,,"Exploitation of misconfigurations and software vulnerabilities to gain unauthorized access to critial systems and networks. Exploitation of the computer network (CNE) in ground control stations as a result of poor configuration could, for example, lead to unauthorized access to and hence compromise of satellite lifecycle assets.",
TR48,Nefarious activity/abuse,Malicious code/software/activity: Software and vulnerability exploit,NAA / Nefarious Activity/Abuse,CI,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space,"Ground: Production (Manufacturing systems & Simulators) & Centralised Checkout Systems & Satellite Operations Centre (Mission Control System); Space: Satellite Bus, Satellite payload",Ground <-> Space (feeder / telecommand link),,,,,,"Exploitation of security weakness in satellite infrastructure resulting from poor configuration and/or logic or implementation erros. These may result in systemic vulnerabilities and affect the satellites' reliability and overall stability. Threat actors may exploit such weaknesses by injecting instructions to manipulate control functions, cause resource exhaustion or introduce flaws in satellite components via the supply chain, enabling them to launch subsequent attacks. This threat may encompass time synchronization executions, compromise of boot memory, exploiting faults in geofencing, software defied assets and others.",
TR49,Nefarious activity/abuse,Manipulation of hardware and software: Zero-Day exploit,NAA / Nefarious Activity/Abuse,CIA,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space; User,Ground: all assets; Space: all assets; User: all assets,User <-> Ground/RAN (service link) ; Ground <-> Space (feeder / telecommand link) ; User <-> Space (direct service link),,,,,,"Exploitation of software vulnerabilities that are at the time of the exploitation unknown to the user. Presenting the so-called ""unknown unknown"" phenomenon, the Zero-Day exploits are especially threatening, since the users are not aware of the fact that they should be remediating them. Because of the exploitation window, limited detection and response, and significant risk and impact, zero-day vulnerabilities are treated with heightened urgency and specialized approaches in cybersecurity compared to regular software exploits. The Zero-Day exploit may be present in any segment of the satellite lifecycle.",
TR50,Nefarious activity/abuse,Preventing services,NAA / Nefarious Activity/Abuse,CIA,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground,"Ground: Production (Design, development, QA & Assembly) & Satellite Control Centre",(none - single segment / internal),,,,,,"Intentional deactivation of security safeguards such as firewalls, virus scans, log monitoring, etc. This may manifest as a modification of the internal values of the satellite lifecycle assets and may include modification of internal tables, registers, algorithms, cryptographic standards and other software components, as well as inhibiting system recovery.",
